segment,server_id,quality,bytes_received,download_time_s,buffer_time_s,buffer_can_play,rebuffer_event,throughput_kbps,jitter_network_kbps,jitter_ewma_kbps,failover,failover_time_s
1,A,240p,25000,0.201,0.29899999999999993,False,0,993.47,0.0,0.0,False,0.0
2,A,240p,25000,0.2,0.599,False,0,1002.2,8.73,2.62,False,0.0
3,A,240p,25000,0.224,0.8750000000000002,False,0,893.76,108.44,34.37,False,0.0
4,A,240p,25000,0.241,1.134,False,0,830.11,63.65,43.15,False,0.0
5,A,240p,25000,0.213,1.4209999999999998,False,0,939.91,109.8,63.15,False,0.0
6,A,240p,25000,0.217,1.7039999999999997,False,0,920.68,19.23,49.97,False,0.0
7,A,240p,25000,0.203,2.0009999999999994,False,0,984.21,63.53,54.04,False,0.0
8,A,240p,25000,0.238,2.2629999999999995,False,0,841.12,143.09,80.75,False,0.0
9,A,240p,25000,0.214,2.549,False,0,934.79,93.67,84.63,False,0.0
10,A,240p,25000,0.203,2.845999999999999,False,0,985.93,51.14,74.58,False,0.0
11,A,240p,25000,0.203,3.142999999999999,False,0,985.11,0.82,52.45,False,0.0
12,A,240p,25000,0.226,3.416999999999999,False,0,885.83,99.28,66.5,False,0.0
13,A,240p,25000,0.212,3.704999999999999,False,0,943.08,57.25,63.73,False,0.0
14,A,240p,25000,0.202,4.002999999999999,True,0,992.13,49.05,59.32,False,0.0
15,A,240p,25000,0.201,4.302,True,0,994.88,2.75,42.35,False,0.0
16,A,240p,25000,0.215,4.587,True,0,930.12,64.76,49.07,False,0.0
17,A,240p,25000,0.199,4.888,True,0,1003.44,73.32,56.35,False,0.0
18,A,240p,25000,0.204,5.184,True,0,981.69,21.75,45.97,False,0.0
19,A,240p,25000,0.204,5.48,True,0,981.23,0.46,32.32,False,0.0
20,A,240p,25000,0.208,5.772,True,0,960.49,20.74,28.84,False,0.0
21,A,240p,25000,0.205,6.067,True,0,976.74,16.25,25.07,False,0.0
22,A,240p,25000,0.216,6.351,True,0,925.59,51.15,32.89,False,0.0
23,A,240p,25000,0.204,6.646999999999999,True,0,980.57,54.98,39.52,False,0.0
24,A,240p,25000,0.202,6.9449999999999985,True,0,990.47,9.9,30.63,False,0.0
25,A,240p,25000,0.205,7.239999999999998,True,0,975.54,14.93,25.92,False,0.0
26,A,240p,25000,0.203,7.536999999999998,True,0,983.35,7.81,20.49,False,0.0
27,A,240p,25000,0.203,7.833999999999999,True,0,984.33,0.98,14.64,False,0.0
28,A,240p,25000,0.203,8.131,True,0,984.85,0.52,10.4,False,0.0
29,A,720p,112500,0.687,7.944,True,0,1310.33,325.48,104.92,False,0.0
